Datum,Stdgang,Gruppe,Menge,Sonstiges,Zeit,gekocht,ungekocht
6/3/2016,MBI15_Grp1,A,200,,0,"9,8","9,8"
,,,,,"0,5",10,"9,6"
,,,,,"1,5",10,"9,8"
,,,,,12,"9,8","9,7"
,,,,,27,"9,8","9,7"
,,,,,70,"9,3","9,45"
6/3/2016,MBI15_Grp1,B,350,kaputtes Enzym,0,"10,22","10,6"
,,,,,"0,5","10,4","10,7"
,,,,,"1,5",11,"10,94"
,,,,,10,"10,9","10,88"
,,,,,45,"10,88","10,75"
,,,,,66,"9,43","10,32"
6/3/2016,MBI15_Grp1,C,500,,0,"10,3","10,5"
,,,,,"0,5","10,3","10,5"
,,,,,2,"10,3","10,5"
,,,,,10,"10,2","10,22"
,,,,,20,"10,23",10
,,,,,30,"10,2","9,5"
,,,,,40,"10,31","9,32"
,,,,,50,"10,4","9,2"
,,,,,75,"10,33","8,47"
,,,,,135,"10,33","6,9"
6/3/2016,MBI15_Grp1,D,500,,0,"10,4","10,2"
,,,,,"0,5","10,4","10,3"
,,,,,2,"10,4","10,15"
,,,,,9,"10,4","9,95"
,,,,,20,"10,3","8,55"
,,,,,28,"10,4","7,9"
,,,,,47,"10,3","7,3"
,,,,,65,"10,3","7,05"
,,,,,110,"10,4","6,8"
6/3/2016,MBI15_Grp1,E,350,kaputtes Enzym,0,10,11
,,,,,"0,5","10,5","11,1"
,,,,,"0,5","10,8","11,3"
,,,,,10,"10,6","11,2"
,,,,,35,"10,87","11,15"
6/10/2016,MBI15_Grp2,A,200,,0,"10,6","10,5"
,,,,,3,"10,75","10,8"
,,,,,15,"10,85","10,81"
,,,,,55,"10,78","10,42"
,,,,,105,"10,77","10,06"
,,,,,190,"10,65","9,24"
6/10/2016,MBI15_Grp2,B,350,,0,"10,9","10,75"
,,,,,3,"10,75","10,76"
,,,,,23,"10,95","10,75"
,,,,,43,"10,96","10,05"
,,,,,73,"10,89","9,75"
,,,,,120,"10,86","8,5"
6/10/2016,MBI15_Grp2,C,500,,0,"10,7","10,39"
,,,,,9,"10,87","10,2"
,,,,,24,"10,81","9,46"
,,,,,44,"10,78","8,06"
,,,,,104,"10,78","6,7"
,,,,,134,"10,56","6,38"
,,,,,183,"10,57","6,35"
6/10/2016,MBI15_Grp2,D,500,,0,"10,4","10,45"
,,,,,4,"10,82","10,57"
,,,,,14,"11,1","10,45"
,,,,,32,"11,13","10,11"
,,,,,43,"11,14","9,93"
,,,,,57,"11,16","9,55"
,,,,,74,"11,1","8,36"
6/10/2016,MBI15_Grp2,E,350,,0,"11,3","11,2"
,,,,,1,"11,5","11,2"
,,,,,10,"11,7","11,2"
,,,,,25,"11,4",11
,,,,,45,"11,3","10,8"
,,,,,58,"11,3",11
,,,,,73,"10,9","11,3"
,,,,,in min,,
6/9/2017,MBI16_Grp2,A,200,,0,"7,48","7,41"
,,,,,10,"7,49","7,26"
,,,,,20,"7,47","7,18"
,,,,,80,-,"6,3"
,,,,,in min,,
6/9/2017,MBI16_Grp2,B,350,,0,"10,85","10,6"
,,,,,10,"10,32","10,6"
,,,,,35,"10,32","10,15"
,,,,,55,"10,3","9,5"
,,,,,in min,,
6/9/2017,MBI16_Grp2,C,500,,0,"10,67","10,49"
,,,,,10,"10,32","10,4"
,,,,,25,"10,2","10,1"
,,,,,45,"9,8","8,55"
,,,,,80,"9,8","9,06"
,,,,,200,"9,9","8,65"
,,,,,in min,,
6/9/2017,MBI16_Grp2,D,500,,0,"10,14","9,96"
,,,,,10,"10,11","9,49"
,,,,,20,"10,06","8,82"
,,,,,30,10,8
,,,,,50,"9,94","6,84"
,,,,,80,"9,75","6,34"
,,,,,110,"9,52","6,26"
,,,,,130,"9,68","6,05"
,,,,,210,"9,56","5,77"
,,,,,in min,,
6/2/2017,MBI16_Grp1,A,500,,0,"11,4","10,83"
,,,,,"0,5","10,8","10,83"
,,,,,1,"10,6","10,6"
,,,,,5,"10,6","10,3"
,,,,,20,"10,2","10,3"
,,,,,40,"8,3","10,3"
,,,,,in min,,
6/2/2017,MBI16_Grp1,B,400,,0,"10,61","11,26"
,,,,,"0,5","10,5","11,26"
,,,,,1,"10,4","10,23"
,,,,,5,"10,45","10,19"
,,,,,20,"10,29","11,05"
,,,,,40,"10,15","10,58"
,,,,,in min,,
6/2/2017,MBI16_Grp1,C,300,,0,"11,2","10,2"
,,,,,3,"11,1","9,9"
,,,,,15,11,"9,1"
,,,,,35,"10,73","8,5"
,,,,,55,"10,5","6,6"
,,,,,in min,,
6/2/2017,MBI16_Grp1,D,200,,0,"10,24","10,02"
,,,,,1,"9,69","9,8"
,,,,,7,"9,52","8,34"
,,,,,40,"6,57","9,24"
,,,,,in min,,
6/2/2017,MBI16_Grp1,E,500,,0,"10,27","10,24"
,,,,,"0,5","9,8","9,78"
,,,,,1,"9,05","9,11"
,,,,,5,"6,49","9,12"
,,,,,20,"6,34","9,71"
,,,,,40,"5,62","9,62"
,,,,,in min,,
6/2/2017,MBI16_Grp1,F,500,,0,"8,93","10,4"
,,,,,15,"8,89","10,87"
,,,,,25,"8,94","10,82"
,,,,,in min,,
6/2/2017,MBI16_Grp1,G,500,,1,"5,47","9,1"
,MBI16_Grp3,A,200,,in min,,
,,,,,0,"10,9","11,1"
,,,,,"0,3","10,8",11
,,,,,"1,5","10,8",11
,,,,,5,"10,8",11
,,,,,15,"10,6",11
,,,,,25,"10,5",11
,,,,,45,"10,5","1,09"
,,,,,60,"10,3","1,09"
,,,,,"2,5","9,7","1,09"
,MBI16_Grp3,B,350,,in min,,
,,,,,0,"11,47","11,6"
,,,,,"0,3","11,57","11,6"
,,,,,10,"11,57","11,49"
,,,,,26,"11,57","11,27"
,,,,,90,"11,4","10,77"
,,,,,,,
,MBI16_Grp3,C,500,,in min,,
,,,,,0,"9,67","10,6"
,,,,,"0,3","9,6","10,6"
,,,,,"1,5","10,8","8,9"
,,,,,5,"8,76","9,3"
,,,,,21,"10,97","10,54"
,,,,,45,"10,24","9,8"
08.06.2018,MBI17_Grp1,A,200,,in min,,
,,,,,0,"11,3","13,09"
,,,,,10,"11,2","12,9"
,,,,,30,11,"12,9"
08.06.2018,MBI17_Grp1,B,350,,in min,,
,,,,,0,"11,66","11,56"
,,,,,10,11,"10,6"
,,,,,20,"10,5","9,5"
,,,,,30,"10,2","9,5"
,,,,,55,"9,8","8,9"
08.06.2018,MBI17_Grp1,C,500,,in min,,
,,,,,0,"9,7","9,7"
,,,,,10,"9,7","8,9"
,,,,,40,"9,4","7,7"
,,,,,50,"9,6","7,4"
,,,,,60,"9,5","6,7"
,,,,,70,"9,45","6,4"
,,,,,80,"9,37","6,3"
08.06.2018,MBI17_Grp1,D,500,,in min,,
,,,,,0,"10,5","11,2"
,,,,,10,"10,4","11,1"
,,,,,30,"10,4","11,08"
,,,,,60,"9,9","10,9"
08.06.2018,MBI17_Grp1,E,350,,in min,,
,,,,,0,"10,1","9,08"
,,,,,10,"9,76","9,22"
,,,,,30,"9,32","9,07"
,,,,,60,"9,44","8,31"
5/6/2019,MBI18_Grp1,A,600,,in min,,
,,,,,0,"10,5","10,4"
,,,,,2,"10,2","10,3"
,,,,,5,"10,2","10,13"
,,,,,10,"10,15","10,04"
,,,,,15,"10,1","9,9"
,,,,,20,"10,07","9,75"
,,,,,35,"10,16","9,43"
,,,,,50,"10,02","8,9"
,,,,,70,"9,9","7,32"
,,,,,191,"9,8","6,25"
,,,,,1009,"9,7","5,77"
5/6/2019,MBI18_Grp1,B,500,,in min,,
,,,,,0,11,11
,,,,,2,"10,9","10,9"
,,,,,7,"10,8","10,7"
,,,,,22,"10,8","10,6"
,,,,,37,"10,7","10,3"
,,,,,53,"10,7","10,3"
,,,,,68,"10,7","10,2"
,,,,,160,"10,65","9,7"
,,,,,970,"10,35","6,3"
5/6/2019,MBI18_Grp1,C,450,,in min,,
,,,,,0,"10,1","10,1"
,,,,,5,"10,05","10,02"
,,,,,15,"10,1","9,97"
,,,,,38,"9,98","9,75"
,,,,,180,"9,9",7
,,,,,287,"9,9","6,5"
,,,,,373,"9,9","6,44"
5/6/2019,MBI18_Grp1,D,400,,in min,,
,,,,,0,"10,04","10,39"
,,,,,35,"9,9","9,95"
,,,,,115,"9,64","9,12"
,,,,,154,"9,66","8,28"
,,,,,214,"9,73","6,95"
12.06.2019,MBI18_Grp2,B,500,,0,"11,3","11,3"
,,,,,11,"11,2","11,2"
,,,,,37,"11,2","11,1"
,,,,,56,"11,15","11,05"
,,,,,90,"11,15","10,95"
,,,,,120,"11,2","10,9"
,,,,,225,11,"10,6"
,,,,,360,"10,9","10,3"
,,,,,780,"10,6","9,8"
12.06.2019,MBI18_Grp2,A,600,,0,"11,25","11,22"
,,,,,19,"11,1","11,06"
,,,,,55,"11,1","10,8"
,,,,,75,11,"10,8"
,,,,,90,"11,1","10,6"
,,,,,110,"11,1","10,6"
,,,,,135,"11,07","10,5"
,,,,,180,"11,03","10,3"
,,,,,200,"11,03","10,2"
12.06.2019,MBI18_Grp2,C,450,,0,"10,6","10,6"
,,,,,3,"10,22","10,45"
,,,,,17,"10,43","10,45"
,,,,,20,"10,35","10,1"
,,,,,28,"10,8","10,4"
,,,,,42,"10,34","9,95"
,,,,,55,"10,37","9,82"
,,,,,71,"10,34","9,67"
,,,,,87,"10,28","9,4"
,,,,,103,"10,3","9,29"
,,,,,135,"10,28","8,86"
25.06.2019,MBI18_Grp3,A,600,,0,"10,24","10,3"
,,,,,5,"10,07","8,71"
,,,,,10,"10,1","7,5"
,,,,,15,"9,99","7,11"
,,,,,20,"9,96","6,85"
,,,,,30,"9,84","6,4"
,,,,,300,"9,8","6,05"
25.06.2019,MBI18_Grp3,B,500,,0,"9,95","10,5"
,,,,,5,"9,68","9,2"
,,,,,8,"9,2","8,7"
,,,,,11,"8,9","8,1"
,,,,,15,"8,5","7,5"
,,,,,20,"9,25","6,9"
,,,,,25,"9,36","6,5"
,,,,,360,"8,9","5,8"
25.06.2019,MBI18_Grp3,C,450,,0,"9,44","9,51"
,,,,,5,"9,39","9,04"
,,,,,10,"9,35","8,07"
,,,,,15,"7,72","9,25"
,,,,,20,"8,6","7,6"
,,,,,30,"8,57","7,26"
25.06.2019,MBI18_Grp3,D,400,,0,"9,66","9,47"
,,,,,5,"9,47","8,84"
,,,,,8,"9,51","8,27"
,,,,,11,"9,56","7,86"
,,,,,15,"9,24","7,53"
,,,,,20,"9,46","7,15"
,,,,,25,"9,41","7,14"
,,,,,40,"9,11","7,25"
10.06.2022,MBI21_Gr1,B,350,,0,"10,19",10
,,,,,"0,5","10,08","9,72"
,,,,,1,"99,93","9,76"
,,,,,"1,5","9,77","9,8"
,,,,,2,"9,64","9,68"
,,,,,"2,5","9,85","9,77"
,,,,,10,"9,93","9,33"
,,,,,20,"9,86","8,92"
,,,,,35,"9,81","8,77"
,,,,,60,"9,71","8,41"
,,,,,100,"9,72","7,64"
09.06.2022,MBI21_Gr2,C,500,,0,"10,16","10,3"
,,,,,1,"10,008","9,96"
,,,,,5,"10,004","9,9"
,,,,,20,"10,02","9,52"
,,,,,60,"9,92","8,7"
,,,,,120,"9,73","7,18"
,,,,,130,"9,8","6,83"
09.06.2022,MBI21_Gr2,D,500,,0,"10,76","10,75"
,,,,,1,"10,65","10,65"
,,,,,5,"10,63","10,61"
,,,,,20,"10,6","10,25"
,,,,,60,"10,4","9,66"
,,,,,120,"10,46","8,95"
,,,,,130,"10,39","9,22"
09.06.2022,MBI21_Gr2,E,350,,0,"10,72","10,31"
,,,,,1,"9,22","8,83"
,,,,,2,"8,87","9,16"
,,,,,3,"9,35","10,17"
,,,,,5,"10,35","9,87"
,,,,,6,"9,68","9,97"
,,,,,20,"10,46","10,42"
,,,,,40,"10,44","10,25"
,,,,,70,"10,04","10,18"
,,,,,120,"9,9","10,32"
,,,,,190,"10,12","10,26"
17.06.2022,MBI21_Gr3,B,350,,0,"10,76","10,13"
,,,,,2,"10,7","10,09"
,,,,,5,"10,5","9,9"
,,,,,8,"10,5","9,7"
,,,,,11,"10,4","9,8"
,,,,,15,"10,4","9,8"
,,,,,19,"10,3","9,6"
,,,,,23,"10,3","9,4"
,,,,,30,"10,3","9,9"
,,,,,38,"10,2","9,9"
,,,,,45,"10,1","10,15"
17.06.2022,MBI21_Gr3,C,500,,0,"10,53","11,56"
,,,,,1,"10,3","11,5"
,,,,,2,"10,11","11,05"
,,,,,4,"9,95","11,32"
,,,,,7,"9,75","11,5"
,,,,,10,"10,44","11,64"
,,,,,15,"10,24","11,06"
,,,,,21,"10,2","11,46"
,,,,,27,"10,97","11,46"
,,,,,34,"10,5","11,67"
,,,,,41,"10,43","11,46"
17.06.2022,MBI21_Gr3,D,500,,0,"10,33","10,3"
,,,,,3,"10,2","9,99"
,,,,,6,"10,12","9,9"
,,,,,13,"9,89","9,75"
,,,,,25,"9,68","9,71"
,,,,,37,"8,54","9,65"
,,,,,57,"8,93","9,11"
,,,,,72,"9,82","9,54"
,,,,,79,"9,7","9,27"
,,,,,85,"8,23","7,95"
,,,,,91,"9,12","7,47"
17.06.2022,MBI21_Gr3,F,200,,0,"10,03","10,05"
,,,,,4,"9,97","9,99"
,,,,,6,"9,85","9,91"
,,,,,9,"9,97","9,82"
,,,,,12,"9,91","9,83"
,,,,,17,"9,87","9,68"
,,,,,21,"9,82","9,6"
,,,,,31,"9,77","9,7"
,,,,,36,"9,82","9,54"
,,,,,41,"9,9","9,54"
,,,,,50,"9,81","9,36"
11.06.2024,MBI23_Gr1,A,200,,0,"6,94","6,92"
,,,,,"0,5","7,01","6,99"
,,,,,1,"7,1",7
,,,,,"1,5","6,79","7,09"
,,,,,2,"6,89","6,98"
,,,,,3,"7,08","6,92"
,,,,,10,"6,77","6,82"
,,,,,20,"6,64","6,77"
,,,,,30,"6,44","6,73"
,,,,,50,"6,4","6,8"
,,,,,60,"6,39","6,84"
11.06.2024,MBI23_Gr1,B,350,,0,"6,85","6,84"
,,,,,"0,5","6,95","6,89"
,,,,,1,"6,91","6,85"
,,,,,"1,5","6,87","6,77"
,,,,,2,"6,9","6,83"
,,,,,3,"6,89","6,83"
,,,,,10,"6,82","6,73"
,,,,,20,"7,11","6,69"
11.06.2024,MBI23_Gr1,C,500,,0,"9,13","7,95"
,,,,,"0,5","8,57","7,7"
,,,,,1,"8,61","7,72"
,,,,,"1,5","8,73","7,67"
,,,,,2,"8,6","7,55"
,,,,,3,"8,74","7,51"
,,,,,8,"8,74","7,49"
,,,,,18,"8,66","7,39"
,,,,,33,"8,45","7,01"
,,,,,48,"8,55","6,83"
,,,,,63,"8,46","6,69"
11.06.2024,MBI23_Gr1,E,350,,0,"7,75","7,56"
,,,,,"0,5","7,61","7,58"
,,,,,1,"7,56","7,59"
,,,,,"1,5","7,56","7,52"
,,,,,2,"7,51","7,48"
,,,,,3,"7,52","7,48"
,,,,,8,"7,5","7,54"
,,,,,18,"7,58","7,47"
,,,,,33,"7,38","7,13"
,,,,,48,"7,35","7,02"
,,,,,63,"7,32","6,84"
11.06.2024,MBI23_Gr1,F,200,,0,"7,5","7,43"
,,,,,"0,5","7,54","7,46"
,,,,,2,"7,53","7,43"
,,,,,5,"7,49","7,37"
,,,,,7,"7,49","7,39"
,,,,,13,"7,53","7,41"
,,,,,23,"7,52","7,28"
,,,,,33,"7,48","7,14"
,,,,,48,"7,47","7,12"
,,,,,63,"7,48","7,15"
,,,,,88,"7,42","7,09"
13.06.2024,MBI23_Gr2,A,200,,0,"7,22",7
,,,,,"0,5","6,98","6,91"
,,,,,1,"6,94","6,692"
,,,,,2,"6,86","6,82"
,,,,,5,"6,87","6,9"
,,,,,10,"6,75","6,84"
,,,,,20,"6,83","6,86"
,,,,,30,"6,7","6,83"
,,,,,40,"6,55","6,85"
,,,,,50,"6,05","6,77"
,,,,,60,"6,47","6,74"
13.06.2024,MBI23_Gr2,C,500,,0,"7,47","7,47"
,,,,,"0,5","7,53","7,34"
,,,,,1,"7,5","7,35"
,,,,,3,"7,52","7,27"
,,,,,10,"7,38","7,25"
,,,,,20,"7,62","7,22"
,,,,,30,"7,73","7,2"
,,,,,40,"7,69","7,17"
,,,,,50,"7,53","6,92"
,,,,,60,"7,64","6,66"
13.06.2024,MBI23_Gr2,E,350,,0,"8,28","9,1"
,,,,,2,"8,5","8,5"
,,,,,10,"8,24","8,43"
,,,,,20,"7,88","8,42"
,,,,,27,"7,5","8,35"
,,,,,40,"7,1","8,25"
,,,,,50,"6,96","8,22"
,,,,,67,"6,78","8,28"
04.06.2025,MBI24_Gr1,A,250,,0,"7,55","7,47"
,,,,,"0,5","7,45","7,38"
,,,,,1,"7,5","7,38"
,,,,,2,"7,5","7,36"
,,,,,5,"7,44","7,35"
,,,,,10,"7,42","7,28"
,,,,,20,"7,4","7,15"
,,,,,30,"7,42","6,98"
,,,,,40,"7,33","6,83"
,,,,,50,"7,36","6,69"
,,,,,60,"7,37","6,6"
04.05.2025,MBI24_Gr1,B,350,,0,"7,62","7,6"
,,,,,"0,5","7,59","7,5"
,,,,,1,"7,45","7,52"
,,,,,2,"7,51","7,5"
,,,,,5,"7,61","7,48"
,,,,,10,"7,4","7,4"
,,,,,20,"7,4","7,22"
,,,,,30,"7,38","7,21"
,,,,,40,"7,1","6,95"
,,,,,50,"7,11","6,92"
,,,,,60,"7,01","6,71"
04.05.2025,MBI24_Gr1,C,500,,0,"7,63","7,9"
,,,,,"0,5","7,51","7,49"
,,,,,1,"7,49","7,46"
,,,,,2,"7,48","7,4"
,,,,,5,"7,42","7,42"
,,,,,10,"7,43","7,34"
,,,,,20,"7,44","7,22"
,,,,,30,"7,4",7
,,,,,40,"7,36","7,05"
,,,,,50,"7,37","6,56"
,,,,,60,"7,34","6,47"
04.05.2025,MBI24_Gr1,E,350,,0,"7,5","7,8"
,,,,,"0,5","7,47","7,5"
,,,,,1,"7,4","7,6"
,,,,,2,"7,4","7,48"
,,,,,5,"7,36","7,37"
,,,,,10,"7,32","7,4"
,,,,,20,"7,28","7,38"
,,,,,30,"7,4","7,33"
,,,,,40,"7,37","6,96"
,,,,,50,"7,42","6,82"
,,,,,60,"7,44","6,66"
04.05.2025,MBI24_Gr1,F,200,,0,"7,64","7,91"
,,,,,"0,5","7,55","7,58"
,,,,,1,"7,58","7,53"
,,,,,2,"7,48","7,5"
,,,,,5,"7,59","7,44"
,,,,,10,"7,46","7,34"
,,,,,20,"7,41","6,96"
,,,,,30,"7,44","6,77"
,,,,,40,"7,43","6,67"
,,,,,50,"7,37","6,62"
,,,,,60,"7,42","6,61"
05.06.2025,MBI24_Gr2,A,200,,0,"7,35","7,34"
,,,,,"0,5","7,34","7,35"
,,,,,5,"7,35","7,25"
,,,,,20,"7,31","7,22"
,,,,,25,"7,3","7,15"
,,,,,35,"7,33","7,05"
,,,,,45,"7,33","6,92"
,,,,,55,"7,31","6,84"
,,,,,70,"7,34","6,7"
05.06.2025,MBI24_Gr2,B,350,,0,"7,63","7,34"
,,,,,"0,5","7,63","7,29"
,,,,,5,"7,5","7,15"
,,,,,15,"7,56","7,1"
,,,,,25,"7,51","6,77"
,,,,,35,"7,46","6,49"
,,,,,45,"7,53","6,44"
,,,,,55,"7,5","6,38"
,,,,,70,"7,58","6,3"
,,,,,80,"7,5","6,28"
,,,,,90,"7,52","6,21"
05.06.2025,MBI24_Gr2,C,500,,0,"7,8","8,02"
,,,,,"0,5","7,69","7,8"
,,,,,5,"7,6","7,58"
,,,,,15,"7,65","7,32"
,,,,,30,"7,72","6,97"
,,,,,40,"7,71","6,67"
,,,,,50,"7,64","6,52"
,,,,,60,"7,69","6,46"
,,,,,70,"7,67","6,33"
05.06.2025,MBI24_Gr2,D,500,,0,"8,11","8,33"
,,,,,"0,5","8,16","8,17"
,,,,,5,"8,23","7,94"
,,,,,15,"8,07","7,7"
,,,,,25,"8,16","7,26"
,,,,,35,"8,13","6,86"
,,,,,45,"7,83","6,74"
,,,,,55,"8,04","6,65"
,,,,,110,"7,99","6,47"
05.06.2025,MBI24_Gr2,E,350,,0,9,"7,92"
,,,,,"0,5","9,1","9,05"
,,,,,5,"90,5","8,9"
,,,,,20,9,"8,35"
,,,,,40,"9,01","7,92"
,,,,,60,"8,9","7,28"
,,,,,85,"8,82","6,74"
,,,,,100,"8,8","6,66"
,,,,,115,"8,71","6,51"
,,,,,130,"8,8","6,46"
,,,,,150,"8,45","6,4"
05.06.2025,MBI24_Gr2,E,200,,0,"7,88","7,81"
,,,,,"0,5","7,78","7,8"
,,,,,5,"7,75","7,74"
,,,,,15,"7,76","7,75"
,,,,,30,"7,81","7,71"
,,,,,40,"7,82","7,84"
,,,,,50,"7,7","7,71"
,,,,,60,"7,74","7,78"
,,,,,70,"7,74","7,8"